date,state,district,deaths
2015-10-01,Kerala,Kasaragod,599
2015-10-01,Kerala,Kollam,1587
2015-10-01,Kerala,Kottayam,1503
2015-10-01,Kerala,Kozhikode,1972
2015-10-01,Kerala,Malappuram,1645
2015-10-01,Kerala,Palakkad,1358
2015-10-01,Kerala,Pathanamthitta,1000
2015-10-01,Kerala,Thiruvananthapuram,2476
2015-10-01,Kerala,Thrissur,2198
2015-10-01,Kerala,Wayanad,349
2015-11-01,Kerala,Alappuzha,1458
2015-11-01,Kerala,Ernakulam,1616
2015-11-01,Kerala,Idukki,542
2015-11-01,Kerala,Kannur,1420
2015-11-01,Kerala,Kasaragod,595
2015-11-01,Kerala,Kollam,1628
2015-11-01,Kerala,Kottayam,1675
2015-11-01,Kerala,Kozhikode,2154
2015-11-01,Kerala,Malappuram,1824
2015-11-01,Kerala,Palakkad,1534
2015-11-01,Kerala,Pathanamthitta,1024
2015-11-01,Kerala,Thiruvananthapuram,2661
2015-11-01,Kerala,Thrissur,2347
2015-11-01,Kerala,Wayanad,333
2015-12-01,Kerala,Alappuzha,1496
2015-12-01,Kerala,Ernakulam,1738
2015-12-01,Kerala,Idukki,597
2015-12-01,Kerala,Kannur,1434
2015-12-01,Kerala,Kasaragod,575
2015-12-01,Kerala,Kollam,1676
2015-12-01,Kerala,Kottayam,1663
2015-12-01,Kerala,Kozhikode,2036
2015-12-01,Kerala,Malappuram,1743
2015-12-01,Kerala,Palakkad,1567
2015-12-01,Kerala,Pathanamthitta,1073
2015-12-01,Kerala,Thiruvananthapuram,2948
2015-12-01,Kerala,Thrissur,2314
2015-12-01,Kerala,Wayanad,376
2016-01-01,Kerala,Alappuzha,1446
2016-01-01,Kerala,Ernakulam,1775
2016-01-01,Kerala,Idukki,552
2016-01-01,Kerala,Kannur,1608
2016-01-01,Kerala,Kasaragod,648
2016-01-01,Kerala,Kollam,1569
2016-01-01,Kerala,Kottayam,1674
2016-01-01,Kerala,Kozhikode,2067
2016-01-01,Kerala,Malappuram,1695
2016-01-01,Kerala,Palakkad,1532
2016-01-01,Kerala,Pathanamthitta,1021
2016-01-01,Kerala,Thiruvananthapuram,2686
2016-01-01,Kerala,Thrissur,2421
2016-01-01,Kerala,Wayanad,452
2016-02-01,Kerala,Alappuzha,1268
2016-02-01,Kerala,Ernakulam,1567
2016-02-01,Kerala,Idukki,539
2016-02-01,Kerala,Kannur,1320
2016-02-01,Kerala,Kasaragod,542
2016-02-01,Kerala,Kollam,1527
2016-02-01,Kerala,Kottayam,1368
2016-02-01,Kerala,Kozhikode,1911
2016-02-01,Kerala,Malappuram,1564
2016-02-01,Kerala,Palakkad,1329
2016-02-01,Kerala,Pathanamthitta,892
2016-02-01,Kerala,Thiruvananthapuram,2291
2016-02-01,Kerala,Thrissur,2167
2016-02-01,Kerala,Wayanad,357
2016-03-01,Kerala,Alappuzha,1307
2016-03-01,Kerala,Ernakulam,1586
2016-03-01,Kerala,Idukki,495
2016-03-01,Kerala,Kannur,1450
2016-03-01,Kerala,Kasaragod,536
2016-03-01,Kerala,Kollam,1584
2016-03-01,Kerala,Kottayam,1378
2016-03-01,Kerala,Kozhikode,1894
2016-03-01,Kerala,Malappuram,1638
2016-03-01,Kerala,Palakkad,1377
2016-03-01,Kerala,Pathanamthitta,949
2016-03-01,Kerala,Thiruvananthapuram,2390
2016-03-01,Kerala,Thrissur,2180
2016-03-01,Kerala,Wayanad,379
2016-04-01,Kerala,Alappuzha,1302
2016-04-01,Kerala,Ernakulam,1623
2016-04-01,Kerala,Idukki,466
2016-04-01,Kerala,Kannur,1596
2016-04-01,Kerala,Kasaragod,578
2016-04-01,Kerala,Kollam,1628
2016-04-01,Kerala,Kottayam,1585
2016-04-01,Kerala,Kozhikode,2018
2016-04-01,Kerala,Malappuram,1666
2016-04-01,Kerala,Palakkad,1520
2016-04-01,Kerala,Pathanamthitta,967
2016-04-01,Kerala,Thiruvananthapuram,2380
2016-04-01,Kerala,Thrissur,2487
2016-04-01,Kerala,Wayanad,351
2016-05-01,Kerala,Alappuzha,1290
2016-05-01,Kerala,Ernakulam,1534
2016-05-01,Kerala,Idukki,442
2016-05-01,Kerala,Kannur,1345
2016-05-01,Kerala,Kasaragod,551
2016-05-01,Kerala,Kollam,1561
2016-05-01,Kerala,Kottayam,1459
2016-05-01,Kerala,Kozhikode,1990
2016-05-01,Kerala,Malappuram,1664
2016-05-01,Kerala,Palakkad,1399
2016-05-01,Kerala,Pathanamthitta,917
2016-05-01,Kerala,Thiruvananthapuram,2396
2016-05-01,Kerala,Thrissur,2208
2016-05-01,Kerala,Wayanad,334
2016-06-01,Kerala,Alappuzha,1366
2016-06-01,Kerala,Ernakulam,1697
2016-06-01,Kerala,Idukki,559
2016-06-01,Kerala,Kannur,1459
2016-06-01,Kerala,Kasaragod,611
2016-06-01,Kerala,Kollam,1605
2016-06-01,Kerala,Kottayam,1593
2016-06-01,Kerala,Kozhikode,2051
2016-06-01,Kerala,Malappuram,1693
2016-06-01,Kerala,Palakkad,1508
2016-06-01,Kerala,Pathanamthitta,997
2016-06-01,Kerala,Thiruvananthapuram,2523
2016-06-01,Kerala,Thrissur,2319
2016-06-01,Kerala,Wayanad,354
2016-07-01,Kerala,Alappuzha,1452
2016-07-01,Kerala,Ernakulam,1946
2016-07-01,Kerala,Idukki,628
2016-07-01,Kerala,Kannur,1949
2016-07-01,Kerala,Kasaragod,806
2016-07-01,Kerala,Kollam,1803
2016-07-01,Kerala,Kottayam,1769
2016-07-01,Kerala,Kozhikode,2436
2016-07-01,Kerala,Malappuram,2103
2016-07-01,Kerala,Palakkad,1719
2016-07-01,Kerala,Pathanamthitta,1105
2016-07-01,Kerala,Thiruvananthapuram,2678
2016-07-01,Kerala,Thrissur,2624
2016-07-01,Kerala,Wayanad,412
2016-08-01,Kerala,Alappuzha,1523
2016-08-01,Kerala,Ernakulam,1855
2016-08-01,Kerala,Idukki,593
2016-08-01,Kerala,Kannur,1736
2016-08-01,Kerala,Kasaragod,688
2016-08-01,Kerala,Kollam,1785
2016-08-01,Kerala,Kottayam,1758
2016-08-01,Kerala,Kozhikode,2411
2016-08-01,Kerala,Malappuram,2066
2016-08-01,Kerala,Palakkad,1635
2016-08-01,Kerala,Pathanamthitta,1007
2016-08-01,Kerala,Thiruvananthapuram,2557
2016-08-01,Kerala,Thrissur,2528
2016-08-01,Kerala,Wayanad,433
2016-09-01,Kerala,Alappuzha,1452
2016-09-01,Kerala,Ernakulam,1732
2016-09-01,Kerala,Idukki,575
2016-09-01,Kerala,Kannur,1621
2016-09-01,Kerala,Kasaragod,656
2016-09-01,Kerala,Kollam,1681
2016-09-01,Kerala,Kottayam,1706
2016-09-01,Kerala,Kozhikode,2230
2016-09-01,Kerala,Malappuram,1804
2016-09-01,Kerala,Palakkad,1547
2016-09-01,Kerala,Pathanamthitta,971
2016-09-01,Kerala,Thiruvananthapuram,2482
2016-09-01,Kerala,Thrissur,2401
2016-09-01,Kerala,Wayanad,454
2016-10-01,Kerala,Alappuzha,1317
2016-10-01,Kerala,Ernakulam,1603
2016-10-01,Kerala,Idukki,598
2016-10-01,Kerala,Kannur,1485
2016-10-01,Kerala,Kasaragod,639
2016-10-01,Kerala,Kollam,1622
2016-10-01,Kerala,Kottayam,1594
2016-10-01,Kerala,Kozhikode,2038
2016-10-01,Kerala,Malappuram,1645
2016-10-01,Kerala,Palakkad,1411
2016-10-01,Kerala,Pathanamthitta,979
2016-10-01,Kerala,Thiruvananthapuram,2317
2016-10-01,Kerala,Thrissur,2233
2016-10-01,Kerala,Wayanad,403
2016-11-01,Kerala,Alappuzha,1238
2016-11-01,Kerala,Ernakulam,1504
2016-11-01,Kerala,Idukki,571
2016-11-01,Kerala,Kannur,1395
2016-11-01,Kerala,Kasaragod,511
2016-11-01,Kerala,Kollam,1526
