date,state,district,female,male,deaths
2018-03-01,Maharashtra,Kolhapur,413,560,973
2018-03-01,Maharashtra,Sangli,322,416,738
2018-03-01,Maharashtra,Palghar,262,322,584
2018-04-01,Maharashtra,Nandurbar,262,442,704
2018-04-01,Maharashtra,Dhule,312,422,734
2018-04-01,Maharashtra,Jalgaon,306,506,812
2018-04-01,Maharashtra,Buldana,142,255,397
2018-04-01,Maharashtra,Akola,291,440,731
2018-04-01,Maharashtra,Washim,59,94,153
2018-04-01,Maharashtra,Amravati,554,889,1443
2018-04-01,Maharashtra,Wardha,215,389,604
2018-04-01,Maharashtra,Nagpur,973,1534,2507
2018-04-01,Maharashtra,Bhandara,151,236,387
2018-04-01,Maharashtra,Gondiya,24,42,66
2018-04-01,Maharashtra,Gadchiroli,117,158,275
2018-04-01,Maharashtra,Chandrapur,203,329,532
2018-04-01,Maharashtra,Yavatmal,178,327,505
2018-04-01,Maharashtra,Nanded,275,461,736
2018-04-01,Maharashtra,Hingoli,42,90,132
2018-04-01,Maharashtra,Parbhani,133,256,389
2018-04-01,Maharashtra,Jalna,122,259,381
2018-04-01,Maharashtra,Aurangabad,247,498,745
2018-04-01,Maharashtra,Nashik,733,1122,1855
2018-04-01,Maharashtra,Thane,767,1149,1916
2018-04-01,Maharashtra,Mumbai Suburban,1667,2001,3668
2018-04-01,Maharashtra,Mumbai,1196,1763,2959
2018-04-01,Maharashtra,Raigarh,160,210,370
2018-04-01,Maharashtra,Pune,546,874,1420
2018-04-01,Maharashtra,Ahmednagar,419,688,1107
2018-04-01,Maharashtra,Beed,186,333,519
2018-04-01,Maharashtra,Latur,237,434,671
2018-04-01,Maharashtra,Osmanabad,110,141,251
2018-04-01,Maharashtra,Solapur,458,668,1126
2018-04-01,Maharashtra,Satara,625,860,1485
2018-04-01,Maharashtra,Ratnagiri,131,166,297
2018-04-01,Maharashtra,Sindhudurg,153,167,320
2018-04-01,Maharashtra,Kolhapur,340,433,773
2018-04-01,Maharashtra,Sangli,221,391,612
2018-04-01,Maharashtra,Palghar,212,311,523
2018-05-01,Maharashtra,Nandurbar,245,377,622
2018-05-01,Maharashtra,Dhule,309,470,779
2018-05-01,Maharashtra,Jalgaon,394,598,992
2018-05-01,Maharashtra,Buldana,174,318,492
2018-05-01,Maharashtra,Akola,382,538,920
2018-05-01,Maharashtra,Washim,94,168,262
2018-05-01,Maharashtra,Amravati,705,1043,1748
2018-05-01,Maharashtra,Wardha,321,448,769
2018-05-01,Maharashtra,Nagpur,1108,1782,2890
2018-05-01,Maharashtra,Bhandara,178,283,461
2018-05-01,Maharashtra,Gondiya,31,47,78
2018-05-01,Maharashtra,Gadchiroli,135,189,324
